6502 東証2部 (株)東芝（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","268","293.8","263.5","277.4","362027000","2774"
"2017-01-05","282","291.5","277.8","290.5","219540000","2905"
"2017-01-06","286.6","295.4","283","287.2","162399000","2872"
"2017-01-10","290.1","291.7","283.5","288.6","93120000","2886"
"2017-01-11","294","307.2","293.4","301.1","209023000","3011"
"2017-01-12","297.5","300.8","282","284.8","165136000","2848"
"2017-01-13","283","290.9","282.5","287.1","67421000","2871"
"2017-01-16","286.3","289.8","280.2","280.8","56486000","2808"
"2017-01-17","280.8","283.6","275","281.7","64848000","2817"
"2017-01-18","292","295.6","284.1","288.4","106346000","2884"
"2017-01-19","270","276","212","242.3","643654000","2423"
"2017-01-20","227.1","252","225.2","246.7","304148000","2467"
"2017-01-23","258","272","252","268.9","299428000","2689"
"2017-01-24","267","274","255.4","259.8","212235000","2598"
"2017-01-25","259.8","262.4","242.7","254.4","214659000","2544"
"2017-01-26","260","262.6","251.6","258.5","100868000","2585"
"2017-01-27","261","270","254.8","259.9","154509000","2599"
"2017-01-30","250.2","253","244.7","250.3","129509000","2503"
"2017-01-31","247.7","250.5","240","242.3","97193000","2423"
"2017-02-01","235.3","245.6","232.5","244.3","85986000","2443"
"2017-02-02","243.2","248.1","240.3","240.8","58202000","2408"
"2017-02-03","240.1","243.7","237.4","238.8","53625000","2388"
"2017-02-06","238.1","241.7","236.3","241.2","54582000","2412"
"2017-02-07","242","244.4","237.5","240.5","57472000","2405"
"2017-02-08","240.5","241.9","237.6","241.8","41465000","2418"
"2017-02-09","240","241.3","212","225.5","199818000","2255"
"2017-02-10","228.1","241.5","227.8","237.9","101025000","2379"
"2017-02-13","244","251.6","238.2","249.8","113366000","2498"
"2017-02-14","244.6","246","226.2","229.8","305773000","2298"
"2017-02-15","202.2","213.5","199.2","209.7","396687000","2097"
"2017-02-16","208.3","208.6","201.2","202.7","177795000","2027"
"2017-02-17","199.4","200","178","184","505996000","1840"
"2017-02-20","181.9","190.9","181.7","186.3","228451000","1863"
"2017-02-21","191.3","192.7","183","183.7","227104000","1837"
"2017-02-22","190","226","188.5","224.7","577107000","2247"
"2017-02-23","218.5","221","203.5","215","404024000","2150"
"2017-02-24","215.4","240.9","215.3","223.9","508096000","2239"
"2017-02-27","218","222","214.2","215.8","118475000","2158"
"2017-02-28","221","221.8","207","208.2","203506000","2082"
"2017-03-01","209.7","213.3","204","211.5","149848000","2115"
"2017-03-02","216","221","215.6","217.2","151120000","2172"
"2017-03-03","214.7","216.1","211.2","213.3","76770000","2133"
"2017-03-06","210","216.8","208.5","213.5","66298000","2135"
"2017-03-07","213.6","216.5","213.1","216","53639000","2160"
"2017-03-08","223","228","220","220.7","130828000","2207"
"2017-03-09","213.8","215.8","203.7","204.8","172235000","2048"
"2017-03-10","201","211.7","196.1","208.3","191672000","2083"
"2017-03-13","205","219.3","204.5","214.9","148546000","2149"
"2017-03-14","202","218.6","196.1","215.9","437349000","2159"
"2017-03-15","199.9","205.5","186.5","189.5","379973000","1895"
"2017-03-16","188.6","192.2","181.6","183.6","211415000","1836"
"2017-03-17","198","199","186.3","190.1","237833000","1901"
"2017-03-21","187","197.1","186.5","196.5","124884000","1965"
"2017-03-22","194","195.7","192.4","194","54887000","1940"
"2017-03-23","196","211.8","195.4","207.3","179101000","2073"
"2017-03-24","215.9","228","215.5","223","272514000","2230"
"2017-03-27","230","232","208.5","218.4","237707000","2184"
"2017-03-28","220","224.3","213.7","217.2","115127000","2172"
"2017-03-29","218","221.6","215.7","219.4","123111000","2194"
"2017-03-30","217.5","231.7","216.3","228.2","272274000","2282"
