x:data,y:label
./evaluation_data/data_0.csv,0.287
./evaluation_data/data_1.csv,0.246
./evaluation_data/data_2.csv,0.259
./evaluation_data/data_3.csv,0.238
./evaluation_data/data_4.csv,0.237
./evaluation_data/data_5.csv,0.184
./evaluation_data/data_6.csv,0.223
./evaluation_data/data_7.csv,0.213
./evaluation_data/data_8.csv,0.208
./evaluation_data/data_9.csv,0.19
./evaluation_data/data_10.csv,0.218
./evaluation_data/data_11.csv,0.228
./evaluation_data/data_12.csv,0.229
./evaluation_data/data_13.csv,0.198
./evaluation_data/data_14.csv,0.208
./evaluation_data/data_15.csv,0.233
./evaluation_data/data_16.csv,0.256
./evaluation_data/data_17.csv,0.225
./evaluation_data/data_18.csv,0.259
./evaluation_data/data_19.csv,0.247
./evaluation_data/data_20.csv,0.285
./evaluation_data/data_21.csv,0.316
./evaluation_data/data_22.csv,0.322
./evaluation_data/data_23.csv,0.277
./evaluation_data/data_24.csv,0.256
./evaluation_data/data_25.csv,0.242
./evaluation_data/data_26.csv,0.277
./evaluation_data/data_27.csv,0.239
./evaluation_data/data_28.csv,0.256
./evaluation_data/data_29.csv,0.287
./evaluation_data/data_30.csv,0.297
./evaluation_data/data_31.csv,0.32
./evaluation_data/data_32.csv,0.308
./evaluation_data/data_33.csv,0.331
./evaluation_data/data_34.csv,0.315
./evaluation_data/data_35.csv,0.299
./evaluation_data/data_36.csv,0.31
./evaluation_data/data_37.csv,0.318
./evaluation_data/data_38.csv,0.341
./evaluation_data/data_39.csv,0.331
./evaluation_data/data_40.csv,0.331
./evaluation_data/data_41.csv,0.313
./evaluation_data/data_42.csv,0.289
./evaluation_data/data_43.csv,0.297
./evaluation_data/data_44.csv,0.281
./evaluation_data/data_45.csv,0.299
./evaluation_data/data_46.csv,0.323
./evaluation_data/data_47.csv,0.31
./evaluation_data/data_48.csv,0.317
